Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kenya,KEN,2202462461.58296,2742778003.4263,11203176165.5089,10972691351.5453,11248581131.9553,10608330744.5113,9912812646.54537,10448620986.7625,11564072038.3489,11471390332.3855,9703784283.44362,11662731888.7572
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kiribati,KIR,8053859.96409336,7960111.31725417,26425553.9449161,22120872.7553582,24099242.8339643,26736608.8197731,34309693.72584,29544144.6965052,21134862.5224148,32509767.1185262,23017273.4154566,26292067.3076923
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,"Korea, Rep.",KOR,70825844919.1816,195550063662.729,691553300804.601,703109248740.173,709970494628.1,630129491251.218,602034550194.781,664731199232.572,719489868241.708,648610576582.722,597865413028.15,761244269131.139
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kosovo,XKX,..,..,1511481433.89439,1549478018.32913,1664446658.69536,1413499389.77033,1592345583.35178,1962433348.39584,2288979688.23807,2315660546.3502,1674198290.59829,3144483737.43347
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kuwait,KWT,8281249652.77778,21297262059.9739,130085744908.896,123413258110.014,111412508784.259,61598537720.1728,52118503806.6865,61797759643.9169,79448654966.8874,72583928853.7549,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Kyrgyz Republic,KGZ,781250000,573185350.355847,2932959610.25008,3099060450.34797,2796701463.63465,2350024277.83147,2440818089.62713,2638474037.52467,2613813420.33663,3125631006.47234,2435961218.47126,3358817496.99908
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lao PDR,LAO,98057227.2695161,530820000,3860717698.89266,4574379409.77094,5411897516.20781,4898082060.90105,5284448606.02114,..,..,..,..,..
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Latvia,LVA,..,2927653534.18308,17308645446.327,18242231298.7032,19194571239.496,16432932180.8121,16739813107.2164,18774805222.9047,21159713457.9129,20542524056.6039,20726215208.053,25295205509.1314
Exports of goods and services (current US$),NE.EXP.GNFS.CD,Lebanon,LBN,510722596.67467,2447097844.11277,12680893474.8259,12492026092.67,11425578093.5987,11553482873.3002,11112344036.2852,11627344114.1625,11394547409.3532,10681277028.3784,5192095745.90564,6020232987.6393
